No,レア,カード名,card_number,買取金額,更新日,弾
236/184,CSR,こくばバドレックスVMAX,236/184,5000,8/10,
237/184,CSR,ガラルサンダーＶ,237/184,5000,8/10,
238/184,CSR,いちげきウーラオスV,238/184,5000,8/10,
239/184,CSR,いちげきウーラオスVMAX,239/184,5000,8/10,
240/184,CSR,れんげきウーラオスV,240/184,4000,8/10,
241/184,CSR,れんげきウーラオスVMAX,241/184,5000,8/10,
242/184,CSR,ガラルファイヤーV,242/184,6500,8/10,
243/184,CSR,クロバットV,243/184,5000,8/25,
244/184,CSR,ブラッキーV,244/184,16000,8/25,
245/184,CSR,ブラッキーVMAX,245/184,29000,8/25,
246/184,CSR,ムゲンダイナV,246/184,4000,8/10,
247/184,CSR,ムゲンダイナVMAX,247/184,4000,8/10,
248/184,CSR,アーマーガアV,248/184,4000,8/10,
249/184,CSR,アーマーガアVMAX,249/184,4000,8/10,
250/184,CSR,ザシアンV,250/184,9000,8/25,
251/184,CSR,ザマゼンタV,251/184,4000,8/10,
252/184,CSR,レックウザVMAX,252/184,29000,8/25,
253/184,CSR,ジュラルドンVMAX,253/184,4000,8/10,
254/184,CSR,ハピナスV,254/184,7000,8/25,
255/184,SR,アセロラの予感,255/184,14000,8/25,
258/184,SR,ガラルの仲間たち,258/184,10000,8/25,
268/184,SR,ボスの指令(フラダリ),268/184,4000,8/10,
276/184,SR,ユウリ,276/184,14000,8/10,
277/184,SR,ルリナ,277/184,11000,8/25,
187/184,CHR,リザードン,187/184,9000,8/10,
188/184,CHR,ブースター,188/184,8000,8/25,
189/184,CHR,シャワーズ,189/184,9000,8/25,
193/184,CHR,サンダース,193/184,7000,8/10,
195/184,CHR,ゼクロム,195/184,9000,8/25,
210/184,CHR,イーブイ,210/184,7000,8/25,
001/025,P,リザードン,001/025,75000,8/28,
002/025,P,フシギバナ,002/025,16000,8/28,
003/025,P,カメックス,003/025,19000,8/28,
004/025,P,にせオーキドはかせ,004/025,4000,8/28,
005/025,P,わるいギャラドス,005/025,12000,8/28,
006/025,P,ロケット団参上！,006/025,5000,8/28,
007/025,P,_のピカチュウ,007/025,70000,8/28,
008/025,P,R団のサンダー,008/025,7000,8/28,
009/025,P,ピィ,009/025,4000,8/28,
010/025,P,ひかるコイキング,010/025,22000,8/28,
012/025,P,ブラッキー スター,012/025,44000,8/28,
013/025,P,ロケット団の幹部,013/025,4000,8/28,
014/025,P,ミュウex,014/025,20000,8/28,
015/025,P,サーナイトex,015/025,7000,8/28,
016/025,P,ネンドール,016/025,3000,8/28,
017/025,P,レントラーGL　LV.X,017/025,4000,8/28,
018/025,P,ガブリアスC　LV.X,018/025,6500,8/28,
019/025,P,ドンファン,019/025,3000,8/28,
020/025,P,レシラム,020/025,15000,8/28,
021/025,P,ゼクロム,021/025,15000,8/28,
022/025,P,ミュウツーEX,022/025,12000,8/28,
023/025,P,ゼルネアスEX,023/025,3000,8/28,
024/025,P,MレックウザEX,024/025,16000,8/28,
025/025,P,カプ・テテフGX,025/025,3000,8/28,
030/028,UR,ミュウ,030/028,50000,8/28,
001/028,-,ピカチュウ(25thミラー),001/028,10000,8/28,
002/028,-,ミュウ(25thミラー),002/028,7000,8/28,
021/028,RR,なみのりピカチュウV(25th),021/028,10000,8/28,
022/028,RRR,なみのりピカチュウVMAX(25th),022/028,11000,8/28,
023/028,RR,そらをとぶピカチュウV(25th),023/028,10000,8/28,
024/028,RRR,そらをとぶピカチュウVMAX(25th),024/028,11000,8/28,
118/100,HR,ミュウVMAX,118/100,24000,8/10,
119/100,HR,ミュウVMAX(SA),119/100,170000,8/25,
122/100,HR,カミツレのきらめき,122/100,8000,8/25,
105/100,SR,ミュウV,105/100,13000,8/25,
106/100,SR,ミュウV(SA),106/100,35000,8/25,
109/100,SR,ゲノセクトV(SA),109/100,6000,8/10,
111/100,SR,ヨクバリスV(SA),111/100,7000,8/25,
113/100,SR,カミツレのきらめき,113/100,12000,8/25,
083/067,HR,ジュラルドンVMAX(SA),083/067,14000,8/28,
070/067,SR,ゴルーグV(SA),070/067,4000,8/10,
074/067,SR,オンバーンV(SA),074/067,14000,8/25,
076/067,SR,ジュラルドンV(SA),076/067,9000,8/25,
081/067,HR,ギャラドスVMAX,081/067,9000,8/10,
082/067,HR,レックウザVMAX,082/067,40000,8/25,
083/067,HR,レックウザVMAX(SA),083/067,850000,8/25,
084/067,HR,サナ,084/067,6000,8/10,
070/067,SR,ギャラドスV,070/067,11000,8/10,
072/067,SR,チャーレムV(SA),072/067,11000,8/10,
073/067,SR,カイリューV,073/067,13000,8/25,
074/067,SR,カイリューV(SA),074/067,100000,8/10,
075/067,SR,レックウザV,075/067,20000,8/25,
076/067,SR,レックウザV(SA),076/067,170000,8/25,
077/067,SR,サナ,077/067,12000,8/25,
079/067,SR,ヒガナの決意,079/067,13000,8/10,
098/069,UR,インテレオン,098/069,6000,8/28,
088/069,HR,リーフィアVMAX,088/069,9000,8/25,
089/069,HR,リーフィアVMAX（SA),089/069,90000,8/10,
090/069,HR,グレイシアVMAX,090/069,8000,8/10,
091/069,HR,グレイシアVMAX（SA),091/069,110000,8/25,
092/069,HR,ニンフィアVMAX,092/069,11000,8/25,
093/069,HR,ニンフィアVMAX（SA),093/069,190000,8/25,
094/069,HR,ブラッキーVMAX,094/069,17000,8/10,
095/069,HR,ブラッキーVMAX（SA),095/069,650000,8/10,
070/069,SR,リーフィアV,070/069,7000,8/10,
071/069,SR,リーフィアV（SA),071/069,26000,8/25,
072/069,SR,ブースターＶ,072/069,8000,8/25,
073/069,SR,ブースターＶ（SA),073/069,32000,8/25,
074/069,SR,シャワーズV,074/069,7000,8/10,
075/069,SR,シャワーズV（SA),075/069,32000,8/10,
076/069,SR,グレイシアV,076/069,7000,8/10,
077/069,SR,グレイシアV（SA),077/069,35000,8/25,
078/069,SR,サンダースV,078/069,6000,8/10,
079/069,SR,サンダースV（SA),079/069,29000,8/25,
080/069,SR,エーフィV,080/069,8000,8/10,
081/069,SR,エーフィV(SA),081/069,40000,8/25,
082/069,SR,ニンフィアV,082/069,12000,8/25,
083/069,SR,ニンフィアV(SA),083/069,35000,8/25,
084/069,SR,ブラッキーV,084/069,14000,8/25,
085/069,SR,ブラッキーV（SA),085/069,80000,8/25,
092/070,UR,マルマイン,092/070,4000,8/28,
086/070,HR,こくばバドレックスVMAX（SA),086/070,90000,8/25,
074/070,SR,ゼラオラV(SA),074/070,20000,8/27,
076/070,SR,こくばバドレックスV（SA),076/070,9000,8/10,
079/070,SR,ハピナスV(SA),079/070,11000,8/25,
082/070,SR,シャクヤ,082/070,5000,8/10,
085/070,HR,はくばバドレックスVMAX(SA),085/070,60000,8/27,
088/070,HR,アスナ,088/070,4000,8/10,
073/070,SR,はくばバドレックスV(SA),073/070,7000,8/10,
075/070,SR,ガラルギャロップV(SA),075/070,9000,8/10,
079/070,SR,トルネロスV(SA),079/070,10000,8/25,
080/070,SR,アスナ,080/070,12000,8/25,
093/070,UR,カビゴン,093/070,36000,8/28,
085/070,HR,バシャーモVMAX,085/070,4000,8/10,
086/070,HR,バシャーモVMAX(SA),086/070,100000,8/10,
074/070,SR,ガラルフリーザーV(SA),074/070,14000,8/25,
076/070,SR,ガラルサンダーV(SA),076/070,13000,8/10,
078/070,SR,ガラルファイヤーV(SA),078/070,59000,8/25,
080/070,SR,ガラルヤドキングV(SA),080/070,21000,8/25,
082/070,SR,クララ,082/070,15000,8/10,
084/070,HR,れんげきウーラオスVMAX(SA),084/070,90000,8/25,
086/070,HR,コルニの気合い,086/070,5000,8/10,
088/070,HR,モミ,088/070,4000,8/10,
074/070,SR,エンペルトV(SA),074/070,18000,8/28,
077/070,SR,れんげきウーラオスV(SA),077/070,7000,8/10,
079/070,SR,コルニの気合い,079/070,12000,8/10,
081/070,SR,モミ,081/070,10000,8/10,
085/070,HR,いちげきウーラオスVMAX(SA),085/070,60000,8/10,
073/070,SR,ミミッキュV,073/070,15000,8/10,
075/070,SR,いちげきウーラオスV(SA),075/070,11000,8/10,
077/070,SR,バンギラスV(SA),077/070,70000,8/10,
080/070,SR,フヨウ,080/070,5000,8/10,
327/190,UR,ムゲンダイナV,327/190,8000,8/28,
328/190,UR,ムゲンダイナVMAX,328/190,6000,8/28,
329/190,UR,ザシアンV,329/190,6000,8/28,
330/190,UR,ザマゼンタV,330/190,6000,8/28,
307/190,SSR,リザードンV,307/190,30000,8/23,
308/190,SSR,リザードンVMAX,308/190,30000,8/10,
323/190,SSR,メタモンV,323/190,20000,8/10,
324/190,SSR,メタモンVMAX,324/190,16000,8/10,
195/190,SR,フウロ,195/190,9000,8/27,
197/190,SR,ポケモンごっこ,197/190,11000,8/10,
198/190,SR,マリィ,198/190,22000,8/10,
114/100,HR,ピカチュウVMAX,114/100,95000,8/10,
116/100,HR,サイトウ,116/100,4000,8/10,
104/100,SR,ピカチュウV,104/100,40000,8/10,
109/100,SR,サイトウ,109/100,7000,8/10,
111/100,SR,ルリナ,111/100,9000,8/10,
083/076,SR,おとなのおねえさん,083/076,4000,8/27,
009/076,A,セレビィ,009/076,9000,8/27,
015/076,A,ライコウ,015/076,13000,8/27,
033/076,A,ザシアン,033/076,6000,8/27,
044/076,A,ザマゼンタ,044/076,6000,8/27,
050/076,A,ジラーチ,050/076,12000,8/27,
056/076,A,レックウザ,056/076,19000,8/27,
114/100,HR,ボーマンダVMAX,114/100,5000,8/27,
108/100,SR,ボーマンダV,108/100,5000,8/27,
081/070,HR,サーナイトVMAX,081/070,5000,8/27,
112/096,HR,ボスの指令(サカキ),112/096,5000,8/27,
106/096,SR,ボスの指令(サカキ),106/096,20000,8/27,
082/070,HR,ソニア,082/070,4000,8/27,
077/070,SR,ソニア,077/070,35000,8/27,
073/060,UR,ザシアンV,073/060,6000,8/28,
073/060,UR,ザマゼンタV,073/060,6000,8/28,
070/060,HR,カビゴンVMAX,070/060,14000,8/27,
072/060,HR,マリィ,072/060,17000,8/27,
066/060,SR,カビゴンV,066/060,8000,8/27,
068/060,SR,マリィ,068/060,80000,8/27,
046/060,RRR,カビゴンVMAX,046/060,8000,8/27,
001/S-P,P,ピカチュウ,001/S-P,160000,8/27,
002/S-P,P,シブヤのピカチュウ,002/S-P,110000,8/27,
029/S-P,P,ニャースVMAX,029/S-P,28000,8/27,
036/S-P,P,救助隊のピカチュウ,036/S-P,130000,8/27,
059/S-P,P,イエッサンV,059/S-P,10000,8/27,
069/S-P,P,ポケモンセンターのお姉さん,069/S-P,30000,8/27,
099/S-P,P,名探偵ピカチュウ,099/S-P,90000,8/27,
103/S-P,P,リザードンV(争奪戦プロモ),103/S-P,300000,8/27,
104/S-P,P,リザードンVMAX(争奪戦プロモ),104/S-P,1200000,8/27,
105/S-P,P,まるのみされたピカチュウ,105/S-P,140000,8/27,
108/S-P,P,ザルードV,108/S-P,21000,8/27,
123/S-P,P,ピカチュウVMAX(バンザイピカチュウ),123/S-P,50000,8/27,
124/S-P,P,ピカチュウ,124/S-P,16000,8/27,
127/S-P,P,プレイヤーズセレモニー,127/S-P,55000,8/27,
132/S-P,P,ピカチュウ,132/S-P,32000,8/27,
140/S-P,P,マリィ,140/S-P,24000,8/27,
144/S-P,P,カナザワのピカチュウ,144/S-P,50000,8/27,
145/S-P,P,ミロカロス,145/S-P,14000,8/27,
147/S-P,P,カナザワのピカチュウ(スペシャルBOX版),147/S-P,140000,8/27,
175/S-P,P,セレビィ(SA),175/S-P,30000,8/27,
186/S-P,P,ブースターVMAX（SA）,186/S-P,650000,8/27,
187/S-P,P,シャワーズVMAX（SA）,187/S-P,700000,8/27,
188/S-P,P,サンダースVMAX（SA）,188/S-P,700000,8/27,
189/S-P,P,エーフィVMAX,189/S-P,64000,8/27,
208/S-P,P,ピカチュウ,208/S-P,38000,8/27,
226/S-P,P,ウッウ(月に雁),226/S-P,80000,8/27,
227/S-P,P,ピカチュウ(見返り美人),227/S-P,450000,8/27,
243/S-P,P,ビクティニV,243/S-P,40000,8/27,
254/S-P,P,おいわいファンファーレ(2021),254/S-P,45000,8/27,
267/S-P,P,アルセウスV,267/S-P,7500,8/27,
304/S-P,P,ルカリオV(争奪戦プロモ),304/S-P,68000,8/27,
305/S-P,P,ルカリオVstar(争奪戦プロモ),305/S-P,240000,8/27,
306/S-P,P,おいわいファンファーレ(2022),306/S-P,24000,8/27,
322/S-P,P,ルギアV,322/S-P,25000,8/27,
323/S-P,P,ピカチュウ,323/S-P,75000,8/27,
001/015,P,ピカチュウV,001/015,150000,8/27,
020/019,SCG,ゲンガーVMAX(SA),020/019,350000,8/27,
220/173,UR,レシラム＆リザードンGX,220/173,65000,8/21,
221/173,UR,ピカチュウ＆ゼクロムGX,221/173,100000,8/21,
222/173,UR,ミュウツー＆ミュウGX,222/173,150000,8/21,
223/173,UR,ゲッコウガ＆ゾロアークGX,223/173,26000,8/21,
224/173,UR,ルカリオ＆メルメタルGX,224/173,25000,8/21,
225/173,UR,ガブリアス＆ギラティナGX,225/173,34000,8/21,
226/173,UR,ファイヤー＆サンダー＆フリーザーGX,226/173,42000,8/21,
212/173,HR,エーフィ＆デオキシスGX,212/173,25000,8/21,
214/173,HR,ジラーチGX,214/173,25000,8/21,
215/173,HR,ブラッキー＆ダークライGX,215/173,50000,8/21,
218/173,HR,トゲピー&ピィ&ププリンGX,218/173,35000,8/21,
219/173,HR,イーブイGX,219/173,65000,8/28,
175/173,SR,デデンネGX(SA),175/173,45000,8/28,
176/173,SR,エーフィ＆デオキシスGX,176/173,30000,8/21,
177/173,SR,エーフィ＆デオキシスGX(SA),177/173,110000,8/28,
178/173,SR,オーロット＆ヨノワールGX,178/173,6000,8/21,
179/173,SR,オーロット＆ヨノワールGX(SA),179/173,25000,8/21,
180/173,SR,ジラーチGX,180/173,14000,8/21,
181/173,SR,ブラッキー&ダークライGX,181/173,50000,8/21,
182/173,SR,ブラッキー&ダークライGX(SA),182/173,260000,8/21,
185/173,SR,トゲピー&ピィ&ププリンGX,185/173,28000,8/21,
186/173,SR,トゲピー&ピィ&ププリンGX(SA),186/173,85000,8/21,
187/173,SR,イーブイGX,187/173,25000,8/21,
188/173,SR,イーブイGX(SA),188/173,190000,8/28,
190/173,SR,エリカのおもてなし,190/173,170000,8/21,
191/173,SR,カスミ＆カンナ,191/173,68000,8/28,
192/173,SR,かんこうきゃく,192/173,230000,8/21,
193/173,SR,グリーンの戦略,193/173,65000,8/21,
196/173,SR,ブルーの探索,196/173,110000,8/21,
197/173,SR,ホミカ,197/173,10000,8/21,
198/173,SR,マツリカ,198/173,12000,8/21,
201/173,SR,レッドの挑戦,201/173,75000,8/21,
001/173,RR,フェローチェ＆マッシブーンGX,001/173,6000,8/21,
016/173,RR,レシラム＆リザードンGX,016/173,11000,8/21,
041/173,RR,ピカチュウ＆ゼクロムGX,041/173,16000,8/21,
052/173,RR,ミュウツー＆ミュウGX,052/173,16000,8/21,
053/173,RR,オーロット＆ヨノワールGX,053/173,6000,8/21,
067/173,RR,マーシャドー＆カイリキーGX,067/173,6000,8/21,
072/173,RR,ゲッコウガ＆ゾロアークGX,072/173,6000,8/21,
083/173,RR,ルカリオ＆メルメタルGX,083/173,7000,8/21,
094/173,RR,トゲピー＆ピィ＆ププリンGX,094/173,9500,8/21,
099/173,RR,ガブリアス＆ギラティナGX,099/173,7000,8/21,
100/173,RR,レックウザGX,100/173,7500,8/21,
102/173,RR,ファイヤー＆サンダー＆フリーザーGX,102/173,12000,8/21,
100/095,SR,アルセウス＆ディアルガ＆パルキアGX(SA),100/095,160000,8/28,
104/095,SR,メガミミロップ＆プリンGX(SA),104/095,38000,8/28,
107/095,SR,マオ＆スイレン,107/095,22000,8/28,
108/095,SR,レッド＆グリーン,108/095,17000,8/28,
070/049,HR,ソルガレオ＆ルナアーラGX,070/049,30000,8/21,
071/049,HR,レシラム＆ゼクロムGX,071/049,33000,8/21,
062/049,SR,ラフレシアGX（SA）,062/049,14000,8/28,
063/049,SR,ソルガレオ＆ルナアーラGX（SA）,063/049,70000,8/28,
064/049,SR,レシラム＆ゼクロムGX（SA）,064/049,57000,8/28,
067/049,SR,メイ,067/049,62000,8/28,
068/049,SR,リーリエの全力,068/049,70000,8/28,
052/049,CHR,ポッチャマ,052/049,20000,8/21,
054/049,CHR,ピカチュウ,054/049,50000,8/21,
058/049,CHR,ミミッキュ,058/049,19000,8/21,
066/064,SR,フシギバナ＆ツタージャGX(SA),066/064,36000,8/28,
068/064,SR,リザードン＆テールナーGX(SA),068/064,110000,8/28,
070/064,SR,カメックス＆ポッチャマGX(SA),070/064,110000,8/21,
096/094,SR,ヤドン＆コダックGX(SA),096/094,150000,8/21,
098/094,SR,ミュウツー＆ミュウGX(SA),098/094,420000,8/28,
102/094,SR,メガヤミラミ＆バンギラスGX(SA),102/094,65000,8/28,
104/094,SR,カスミのおねがい,104/094,50000,8/21,
060/054,SR,ファイヤー＆サンダー＆フリーザーGX(SA),060/054,400000,8/28,
062/054,SR,ムサシとコジロウ,062/054,80000,8/28,
057/054,SR,ライチュウ＆アローラライチュウGX(SA),057/054,160000,8/21,
060/054,SR,ガブリアス＆ギラティナGX(SA),060/054,110000,8/28,
108/095,HR,レシラム＆リザードンGX,108/095,45000,8/21,
097/095,SR,レシラム＆リザードンGX(SA),097/095,260000,8/28,
101/095,SR,マーシャドー＆カイリキーGX(SA),101/095,30000,8/21,
059/054,SR,ルカリオ＆メルメタルGX(SA),059/054,45000,8/21,
061/054,SR,ブルーの探索,061/054,48000,8/21,
067/055,HR,サーナイト＆ニンフィアGX,067/055,35000,8/21,
059/055,SR,ゲッコウガ＆ゾロアークGX(SA),059/055,100000,8/28,
061/055,SR,サーナイト＆ニンフィアGX(SA),061/055,260000,8/28,
112/095,HR,ピカチュウ＆ゼクロムGX,112/095,65000,8/21,
113/095,HR,ゲンガー＆ミミッキュGX,113/095,90000,8/21,
097/095,SR,セレビィ＆フシギバナGX(SA),097/095,80000,8/21,
099/095,SR,コイキング＆ホエルオーGX(SA),099/095,210000,8/28,
101/095,SR,ピカチュウ＆ゼクロムGX(SA),101/095,650000,8/21,
103/095,SR,ゲンガー＆ミミッキュGX(SA),103/095,400000,8/28,
105/095,SR,ラティアス＆ラティオスGX(SA),105/095,800000,8/28,
107/095,SR,エリカのおもてなし,107/095,38000,8/28,
209/150,SSR,リザードンGX,209/150,220000,8/28,
229/150,SSR,ブラッキーGX,229/150,160000,8/28,
238/150,SSR,ニンフィアGX,238/150,50000,8/28,
240/150,SSR,レックウザGX,240/150,180000,8/28,
153/150,SR,シロナ,153/150,45000,8/28,
058/052,SR,ミカン,058/052,14000,8/28,
108/095,HR,ルギアGX,108/095,70000,8/21,
101/095,SR,アカネ,101/095,25000,8/28,
056/050,SR,マツリカ,056/050,11000,8/21,
060/050,HR,ミミッキュGX,060/050,30000,8/21,
065/060,SR,カヒリ,065/060,16000,8/21,
109/096,HR,レックウザGX,109/096,150000,8/28,
104/096,SR,ルチア,104/096,210000,8/28,
073/066,SR,地底探検隊,073/066,27000,8/21,
074/066,SR,TVレポーター,074/066,16000,8/21,
077/066,SR,モノマネむすめ,077/066,30000,8/28,
059/053,SR,ヒガナ,059/053,52000,8/21,
100/094,SR,おじょうさま,100/094,35000,8/21,
101/094,SR,カルネ,101/094,14000,8/21,
102/094,SR,ユリーカ,102/094,15000,8/21,
059/050,HR,ルカリオGX,059/050,35000,8/21,
055/050,SR,ウルトラ調査隊,055/050,5500,8/21,
070/066,SR,ナタネ,070/066,38000,8/21,
072/066,SR,マーズ,072/066,14000,8/21,
070/066,SR,シロナ,070/066,120000,8/28,
118/114,SR,スイレン,118/114,140000,8/21,
119/114,SR,リーリエ,119/114,1800000,8/21,
120/114,SR,ルザミーネ,120/114,300000,8/21,
055/050,SR,グラジオ,055/050,22000,8/21,
055/050,SR,ルザミーネ,055/050,180000,8/28,
080/072,HR,ミュウツーGX,080/072,160000,8/21,
077/072,SR,ポケモンブリーダー,077/072,30000,8/21,
041/072,-,ひかるミュウ,041/072,110000,8/28,
082/072,＊,ミュウツーGX(SR仕様),082/072,550000,8/28,
058/051,HR,リザードンGX,058/051,600000,8/28,
059/051,HR,ホウオウGX,059/051,55000,8/21,
052/051,SR,リザードンGX,052/051,240000,8/28,
057/051,SR,プルメリ,057/051,14000,8/21,
061/051,HR,サーナイトGX,061/051,26000,8/21,
056/051,SR,グズマ,056/051,10000,8/21,
057/051,SR,ビッケ,057/051,40000,8/21,
063/049,HR,ダークライGX,063/049,50000,8/21,
056/049,SR,アセロラ,056/049,1100000,8/28,
057/049,SR,マーマネ,057/049,8000,8/21,
055/050,SR,マオ,055/050,85000,8/28,
064/051,HR,ニンフィアGX,064/051,480000,8/21,
057/051,SR,ニンフィアGX,057/051,90000,8/21,
068/060,HR,エーフィGX,068/060,70000,8/28,
062/060,SR,エーフィGX,062/060,35000,8/28,
069/060,HR,ブラッキーGX,069/060,160000,8/28,
063/060,SR,ブラッキーGX,063/060,80000,8/28,
066/060,SR,リーリエ,066/060,850000,8/28,
005/SM-P,PROMO,サッポロのピカチュウ,005/SM-P,200000,8/21,
055/SM-P,PROMO,イースターのピカチュウ,055/SM-P,400000,8/21,
068/SM-P,PROMO,ピカチュウ,068/SM-P,420000,8/21,
088/SM-P,PROMO,トウホクのピカチュウ,088/SM-P,190000,8/21,
137/SM-P,PROMO,ポンチョを着たイーブイ(シャワーズ),137/SM-P,550000,8/21,
138/SM-P,PROMO,ポンチョを着たイーブイ(サンダース),138/SM-P,350000,8/21,
139/SM-P,PROMO,ポンチョを着たイーブイ(ブースター),139/SM-P,350000,8/21,
140/SM-P,PROMO,ポンチョを着たイーブイ(エーフィ),140/SM-P,300000,8/21,
141/SM-P,PROMO,ポンチョを着たイーブイ(ブラッキー),141/SM-P,600000,8/21,
142/SM-P,PROMO,ポンチョを着たイーブイ(リーフィア),142/SM-P,300000,8/21,
143/SM-P,PROMO,ポンチョを着たイーブイ(グレイシア),143/SM-P,300000,8/21,
144/SM-P,PROMO,ポンチョを着たイーブイ(ニンフィア),144/SM-P,400000,8/21,
224/SM-P,PROMO,ピカチュウ,224/SM-P,140000,8/21,
270/SM-P,PROMO,レッドのピカチュウ,270/SM-P,140000,8/21,
280/SM-P,PROMO,ヨコハマのピカチュウ,280/SM-P,210000,8/21,
281/SM-P,PROMO,ヨコハマのピカチュウ,281/SM-P,180000,8/21,
282/SM-P,PROMO,ヨコハマのピカチュウ,282/SM-P,180000,8/21,
283/SM-P,PROMO,ヨコハマのピカチュウ,283/SM-P,130000,8/21,
287/SM-P,PROMO,イーブイ(ムンク),287/SM-P,550000,8/21,
286/SM-P,PROMO,コダック(ムンク),286/SM-P,1100000,8/21,
288/SM-P,PROMO,ピカチュウ(ムンク),288/SM-P,1500000,8/21,
289/SM-P,PROMO,ミミッキュ(ムンク),289/SM-P,2200000,8/21,
290/SM-P,PROMO,モクロー(ムンク),290/SM-P,240000,8/21,
297/SM-P,PROMO,イーブイ＆カビゴンGX,297/SM-P,55000,8/21,
325/SM-P,PROMO,お茶会ごっこピカチュウ,325/SM-P,130000,8/21,
381/SM-P,PROMO,ピッピ,381/SM-P,62000,8/21,
407/SM-P,PROMO,漫才ごっこピカチュウ,407/SM-P,110000,8/21,
392/SM-P,PROMO,海で遊ぶピカチュウ,392/SM-P,65000,8/21,
365/SM-P,PROMO,アーマードミュウツー,365/SM-P,110000,8/21,
