No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益,鑑定費,手取り利益,利益率,月換算利益率
206/165,SAR,エリカの招待,206/165,24000,6/12,,9980,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f342e6a7067003136300000660023666666666666.jpg,14020,3000,11020,84.9,42.4
184/165,SR,フシギバナex,184/165,8500,6/12,,2980,在庫あり (74枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f32362e6a7067003136300000660023666666666666.jpg,5520,3000,2520,42.1,21.1
185/165,SR,リザードンex,185/165,22000,6/12,,8280,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f32352e6a7067003136300000660023666666666666.jpg,13720,3000,10720,95.0,47.5
186/165,SR,カメックスex,186/165,8500,6/12,,2480,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f32342e6a7067003136300000660023666666666666.jpg,6020,3000,3020,55.1,27.6
195/165,SR,ミュウex,195/165,22000,6/12,,4780,在庫あり (25枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f31352e6a7067003136300000660023666666666666.jpg,17220,3000,14220,182.8,91.4
196/165,SR,エリカの招待,196/165,15000,6/12,,3780,在庫あり (72枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f31342e6a7067003136300000660023666666666666.jpg,11220,3000,8220,121.2,60.6
166/165,AR,フシギダネ,166/165,10000,6/12,,4480,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f34342e6a7067003136300000660023666666666666.jpg,5520,3000,2520,33.7,16.8
168/165,AR,ヒトカゲ,168/165,16000,6/12,,5480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f34322e6a70670031363000534f4c44204f555400660023666666666666.jpg,10520,3000,7520,88.7,44.3
169/165,AR,リザード,169/165,11000,6/12,,3980,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f34312e6a7067003136300000660023666666666666.jpg,7020,3000,4020,57.6,28.8
170/165,AR,ゼニガメ,170/165,13000,6/12,,4980,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f34302e6a7067003136300000660023666666666666.jpg,8020,3000,5020,62.9,31.5
171/165,AR,カメール,171/165,10000,6/12,,3280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f33392e6a70670031363000534f4c44204f555400660023666666666666.jpg,6720,3000,3720,59.2,29.6
173/165,AR,ピカチュウ,173/165,18000,6/12,,7980,在庫あり (125枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f33372e6a7067003136300000660023666666666666.jpg,10020,3000,7020,63.9,32.0
183/165,AR,ミュウツー,183/165,15000,6/12,,5780,在庫あり (45枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f32372e6a7067003136300000660023666666666666.jpg,9220,3000,6220,70.8,35.4
175/165,AR,コダック,175/165,12000,6/12,,4480,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f33352e6a7067003136300000660023666666666666.jpg,7520,3000,4520,60.4,30.2
181/165,AR,カビゴン,181/165,9000,6/12,,3280,在庫あり (48枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f32392e6a7067003136300000660023666666666666.jpg,5720,3000,2720,43.3,21.7
001/165,マスボ,フシギダネ,001/165,22000,6/12,,4780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572345f31342e6a70670031363000534f4c44204f555400660023666666666666.jpg,17220,3000,14220,182.8,91.4
004/165,マスボ,ヒトカゲ,004/165,23000,6/12,,6480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572345f32312e6a70670031363000534f4c44204f555400660023666666666666.jpg,16520,3000,13520,142.6,71.3
007/165,マスボ,ゼニガメ,007/165,17000,6/12,,4980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572325f32302e6a70670031363000534f4c44204f555400660023666666666666.jpg,12020,3000,9020,113.0,56.5
025/165,マスボ,ピカチュウ,025/165,110000,6/12,,84800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303631325f3065633235652e6a70670031363000534f4c44204f555400660023666666666666.jpg,25200,3000,22200,25.3,12.6
052/165,マスボ,ニャース,052/165,11000,6/12,,2580,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572335f32312e6a70670031363000534f4c44204f555400660023666666666666.jpg,8420,3000,5420,97.1,48.6
054/165,マスボ,コダック,054/165,35000,6/12,,19800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d61737465725f5f362e6a7067003136300000660023666666666666.jpg,15200,3000,12200,53.5,26.8
079/165,マスボ,ヤドン,079/165,20000,6/12,,10800,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572355f31312e6a7067003136300000660023666666666666.jpg,9200,3000,6200,44.9,22.5
094/165,マスボ,ゲンガー,094/165,130000,6/12,,84800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d61737465725f5f31342e6a70670031363000534f4c44204f555400660023666666666666.jpg,45200,10000,35200,37.1,
129/165,マスボ,コイキング,129/165,25000,6/12,,17800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d61737465725f5f392e6a70670031363000534f4c44204f555400660023666666666666.jpg,7200,3000,4200,20.2,10.1
130/165,マスボ,ギャラドス,130/165,20000,6/12,,10800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d61737465725f5f32302e6a7067003136300000660023666666666666.jpg,9200,3000,6200,44.9,22.5
132/165,マスボ,メタモン,132/165,16000,6/12,,2480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572355f31362e6a70670031363000534f4c44204f555400660023666666666666.jpg,13520,3000,10520,192.0,96.0
133/165,マスボ,イーブイ,133/165,14000,6/12,,5480,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303630385f3336333866372e6a7067003136300000660023666666666666.jpg,8520,3000,5520,65.1,32.5
134/165,マスボ,シャワーズ,134/165,12000,6/12,,5280,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572325f31312e6a7067003136300000660023666666666666.jpg,6720,3000,3720,44.9,22.5
135/165,マスボ,サンダース,135/165,11000,6/12,,5980,在庫あり (19枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572325f362e6a7067003136300000660023666666666666.jpg,5020,3000,2020,22.5,11.2
136/165,マスボ,ブースター,136/165,10000,6/12,,4780,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572345f31372e6a7067003136300000660023666666666666.jpg,5220,3000,2220,28.5,14.3
143/165,マスボ,カビゴン,143/165,15000,6/12,,5280,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303630385f6333666563642e6a7067003136300000660023666666666666.jpg,9720,3000,6720,81.2,40.6
144/165,マスボ,フリーザー,144/165,10000,6/12,,2180,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572345f31322e6a70670031363000534f4c44204f555400660023666666666666.jpg,7820,3000,4820,93.1,46.5
146/165,マスボ,ファイヤー,146/165,10000,6/12,,2380,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572345f31382e6a7067003136300000660023666666666666.jpg,7620,3000,4620,85.9,42.9
150/165,マスボ,ミュウツー,150/165,45000,6/12,,11800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d6173746572355f31372e6a70670031363000534f4c44204f555400660023666666666666.jpg,33200,10000,23200,106.4,
096/071,SAR,ナンジャモ SV2D,096/071,70000,6/12,,52800,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f505f53563244505f332e6a7067003136300000660023666666666666.jpg,17200,3000,14200,25.4,12.7
091/071,SR,ナンジャモ,091/071,14000,6/12,,6480,在庫あり (27枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f505f53563244505f382e6a7067003136300000660023666666666666.jpg,7520,3000,4520,47.7,23.8
095/071,SAR,グルーシャ,095/071,14000,6/12,,4980,在庫あり (34枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f505f53563244505f33322e6a7067003136300000660023666666666666.jpg,9020,3000,6020,75.4,37.7
098/073,SAR,ウェーニバルex,098/073,8500,6/12,,3280,在庫あり (28枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535631615f5341525f322e6a7067003136300000660023666666666666.jpg,5220,3000,2220,35.4,17.7
080/073,AR,コイキング,080/073,42000,6/12,,27800,在庫あり (17枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535631615f41525f362e6a7067003136300000660023666666666666.jpg,14200,3000,11200,36.4,18.2
105/078,SAR,ミモザ,105/078,35000,6/12,,14800,在庫あり (23枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535631565f5341525f302e6a7067003136300000660023666666666666.jpg,20200,3000,17200,96.6,48.3
100/078,SR,ミモザ,100/078,9000,6/12,,3280,在庫あり (124枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535631565f53525f302e6a7067003136300000660023666666666666.jpg,5720,3000,2720,43.3,21.7
103/078,SAR,コライドンex,103/078,18000,6/12,,6780,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535631535f5341525f322e6a7067003136300000660023666666666666.jpg,11220,3000,8220,84.0,42.0
001/SV-P,P,ピカチュウ,001/SV-P,15000,6/14,,5780,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303232313131375f3064656534332e6a7067003136300000660023666666666666.jpg,9220,3000,6220,70.8,35.4
062/SV-P,P,イーブイ,062/SV-P,24000,6/14,,13800,在庫あり (19枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036325f6569657675695f43522e6a7067003136300000660023666666666666.jpg,10200,3000,7200,42.9,21.4
066/SV-P,P,エーフィ,066/SV-P,22000,6/14,,13800,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036365f65696669655f43522e6a7067003136300000660023666666666666.jpg,8200,3000,5200,31.0,15.5
067/SV-P,P,ブラッキー,067/SV-P,39000,6/14,,27800,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036375f626c61636b795f43522e6a7067003136300000660023666666666666.jpg,11200,3000,8200,26.6,13.3
068/SV-P,P,リーフィア,068/SV-P,20000,6/14,,12800,在庫あり (21枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036385f6c65616669615f43522e6a7067003136300000660023666666666666.jpg,7200,3000,4200,26.6,13.3
069/SV-P,P,グレイシア,069/SV-P,22000,6/14,,13800,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3036395f676c616369615f43522e6a7067003136300000660023666666666666.jpg,8200,3000,5200,31.0,15.5
070/SV-P,P,ニンフィア,070/SV-P,22000,6/14,,13800,在庫あり (20枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3037305f6e796d706869615f43522e6a7067003136300000660023666666666666.jpg,8200,3000,5200,31.0,15.5
098/SV-P,P,名探偵ピカチュウ,098/SV-P,55000,6/14,,34800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303233313030365f3365663463312e6a70670031363000534f4c44204f555400660023666666666666.jpg,20200,3000,17200,45.5,22.8
218/SV-P,P,ピカチュウ,218/SV-P,26000,6/16,,14800,在庫あり (39枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d657373616765496d6167655f313732323135373930373435355f302e6a7067003136300000660023666666666666.jpg,11200,3000,8200,46.1,23.0
260/SV-P,P,トウホクのピカチュウ,260/SV-P,48000,6/14,,16800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303830395f3031306536662e6a70670031363000534f4c44204f555400660023666666666666.jpg,31200,10000,21200,79.1,
261/SV-P,P,ヒロシマのピカチュウ,261/SV-P,62000,6/16,,19800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303830395f6366313733642e6a7067003136300000660023666666666666.jpg,42200,10000,32200,108.1,
291/SV-P,P,ピカチュウ,291/SV-P,9000,6/16,,1080,在庫あり (271枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235313030315f6639386637322e6a7067003136300000660023666666666666.jpg,7920,3000,4920,120.6,60.3
288/SV-P,P,ビクティニ(争奪戦プロモ),288/SV-P,180000,6/14,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f53565032353036313431372e6a70670031363000534f4c44204f555400660023666666666666.jpg,72000,10000,62000,52.5,
289/SV-P,P,フクオカのピカチュウ,289/SV-P,40000,6/14,,23800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303830395f3264616466642e6a7067003136300000660023666666666666.jpg,16200,3000,13200,49.3,24.6
003/032,P,リザードン(クラシック版),003/032,62000,6/16,,42800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c4c2d3030332e6a70670031363000534f4c44204f555400660023666666666666.jpg,19200,3000,16200,35.4,17.7
003/032,P,フシギバナ(クラシック版),003/032,12000,6/14,,4480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c462d3030332e6a70670031363000534f4c44204f555400660023666666666666.jpg,7520,3000,4520,60.4,30.2
003/032,P,カメックス(クラシック版),003/032,14000,6/14,,7980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c4b2d3030332e6a7067003136300000660023666666666666.jpg,6020,3000,3020,27.5,13.8
008/032,P,ピカチュウ(クラシック版),008/032,45000,6/16,,21800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f435250434c4c2d3030382e6a70670031363000534f4c44204f555400660023666666666666.jpg,23200,3000,20200,81.5,40.7
050/049,P,フシギダネ,050/049,32000,6/14,,13800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f353072757368705356473035303034392e6a70670031363000534f4c44204f555400660023666666666666.jpg,18200,3000,15200,90.5,45.2
051/049,P,ヒトカゲ,051/049,48000,6/14,,21800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f353172757368705356473035313034392e6a70670031363000534f4c44204f555400660023666666666666.jpg,26200,3000,23200,93.5,46.8
052/049,P,ゼニガメ,052/049,30000,6/14,,17800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f353272757368705356473035323034392e6a7067003136300000660023666666666666.jpg,12200,3000,9200,44.2,22.1
001/030,P,ピカチュウex,001/030,85000,6/14,,59800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f31727573687057435332333030313033302e6a7067003136300000660023666666666666.jpg,25200,3000,22200,35.4,17.7
260/172,UR,オリジンディアルガVSTAR,260/172,19000,6/13,,12800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f322e6a7067003136300000660023666666666666.jpg,6200,3000,3200,20.3,10.1
262/172,UR,アルセウスVSTAR,262/172,29000,6/13,,19800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f302e6a7067003136300000660023666666666666.jpg,9200,3000,6200,27.2,13.6
183/172,AR,ミュウ,183/172,20000,6/13,,8480,在庫あり (22枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f37392e6a7067003136300000660023666666666666.jpg,11520,3000,8520,74.2,37.1
211/172,SAR,リザードンV,211/172,20000,6/13,,9780,在庫あり (66枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f35312e6a7067003136300000660023666666666666.jpg,10220,3000,7220,56.5,28.2
212/172,SAR,リザードンVSTAR,212/172,28000,6/13,,17800,在庫あり (32枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f35302e6a7067003136300000660023666666666666.jpg,10200,3000,7200,34.6,17.3
214/172,SAR,バオッキーVSTAR,214/172,11000,6/13,,4480,在庫あり (30枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f34382e6a7067003136300000660023666666666666.jpg,6520,3000,3520,47.1,23.5
218/172,SAR,ライコウV,218/172,11000,6/13,,5480,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f34342e6a7067003136300000660023666666666666.jpg,5520,3000,2520,29.7,14.9
225/172,SAR,ザシアンV,225/172,8500,6/13,,2280,在庫あり (17枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f33372e6a7067003136300000660023666666666666.jpg,6220,3000,3220,61.0,30.5
226/172,SAR,ルカリオVSTAR,226/172,16000,6/13,,5480,在庫あり (72枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f33362e6a7067003136300000660023666666666666.jpg,10520,3000,7520,88.7,44.3
228/172,SAR,ダークライVSTAR,228/172,17000,6/13,,9980,在庫あり (72枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f33342e6a7067003136300000660023666666666666.jpg,7020,3000,4020,31.0,15.5
234/172,SAR,ヒスイゾロアークVSTAR,234/172,9000,6/13,,3780,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f342e6a7067003136300000660023666666666666.jpg,5220,3000,2220,32.7,16.4
236/172,SAR,カイ,236/172,11000,6/13,,4280,在庫あり (38枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f32372e6a7067003136300000660023666666666666.jpg,6720,3000,3720,51.1,25.5
239/172,SAR,シロナの覇気,239/172,13000,6/13,,4780,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f32342e6a7067003136300000660023666666666666.jpg,8220,3000,5220,67.1,33.5
246/172,SR,カミツレのきらめき,246/172,9000,6/13,,3480,在庫あり (94枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f31372e6a7067003136300000660023666666666666.jpg,5520,3000,2520,38.9,19.4
247/172,SR,シンオウの仲間たち,247/172,8500,6/13,,1480,在庫あり (24枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f31362e6a7067003136300000660023666666666666.jpg,7020,3000,4020,89.7,44.9
249/172,SR,ヒスイの仲間たち,249/172,8500,6/13,,1280,在庫あり (58枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f533132615f31342e6a7067003136300000660023666666666666.jpg,7220,3000,4220,98.6,49.3
123/098,UR,ルギアVSTAR,123/098,25000,6/13,,7480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331325f322e6a70670031363000534f4c44204f555400660023666666666666.jpg,17520,3000,14520,138.5,69.3
118/098,HR,ルギアVSTAR,118/098,23000,6/13,,4980,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331325f372e6a7067003136300000660023666666666666.jpg,18020,3000,15020,188.2,94.1
109/098,SR,ルギアV,109/098,20000,6/13,,4780,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331325f31362e6a7067003136300000660023666666666666.jpg,15220,3000,12220,157.1,78.5
113/098,SR,スズナ,113/098,8500,6/13,,2380,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7331325f31322e6a7067003136300000660023666666666666.jpg,6120,3000,3120,58.0,29.0
089/068,HR,セレナ,089/068,14000,6/13,,2580,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f33353331302e6a7067003136300000660023666666666666.jpg,11420,3000,8420,150.9,75.4
084/068,CSR,ジャローダV(SA),084/068,11000,6/13,,4980,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f33353330352e6a7067003136300000660023666666666666.jpg,6020,3000,3020,37.8,18.9
125/100,UR,ギラティナVSTAR,125/100,18000,6/13,,9980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5331312d3132352e6a7067003136300000660023666666666666.jpg,8020,3000,5020,38.7,19.3
120/100,HR,ギラティナVSTAR,120/100,12000,6/13,,4480,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5331312d3132302e6a7067003136300000660023666666666666.jpg,7520,3000,4520,60.4,30.2
110/100,SR,ギラティナV,110/100,12000,6/13,,3480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5331312d3131302e6a70670031363000534f4c44204f555400660023666666666666.jpg,8520,3000,5520,85.2,42.6
091/071,UR,ミュウツーVSTAR,091/071,24000,6/13,,10800,在庫あり (45枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36393732323835312e6a7067003136300000660023666666666666.jpg,13200,3000,10200,73.9,37.0
084/071,HR,ミュウツーVSTAR,084/071,30000,6/13,,9980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36393732323834342e6a7067003136300000660023666666666666.jpg,20020,3000,17020,131.1,65.6
086/071,HR,カイリューVSTAR,086/071,15000,6/13,,4980,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36393732323834362e6a7067003136300000660023666666666666.jpg,10020,3000,7020,88.0,44.0
073/071,SR,ミュウツーV,073/071,28000,6/13,,3480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36393732323833322e6a70670031363000534f4c44204f555400660023666666666666.jpg,24520,3000,21520,332.1,166.0
074/071,SR,ミュウツーV(SA),074/071,42000,6/13,,24800,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36393732323833332e6a7067003136300000660023666666666666.jpg,17200,3000,14200,51.1,25.5
078/071,SR,カイリューV,078/071,8000,6/13,,2680,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f36393732323833372e6a7067003136300000660023666666666666.jpg,5320,3000,2320,40.8,20.4
004/071,K,かがやくフシギバナ,004/071,8000,6/13,,1780,在庫あり (98枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f347275736870533130623030343037312e6a7067003136300000660023666666666666.jpg,6220,3000,3220,67.4,33.7
011/071,K,かがやくリザードン,011/071,15000,6/13,,5480,在庫あり (124枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f31317275736870533130623031313037312e6a7067003136300000660023666666666666.jpg,9520,3000,6520,76.9,38.4
018/071,K,かがやくカメックス,018/071,10000,6/13,,2480,在庫あり (149枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f31387275736870533130623031383037312e6a7067003136300000660023666666666666.jpg,7520,3000,4520,82.5,41.2
055/071,K,かがやくイーブイ,055/071,14000,6/13,,2580,在庫あり (27枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f35357275736870533130623035353037312e6a7067003136300000660023666666666666.jpg,11420,3000,8420,150.9,75.4
097/071,UR,ヒスイゾロアークVSTAR,097/071,6500,6/13,,1480,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130613039372d3037312e6a7067003136300000660023666666666666.jpg,5020,3000,2020,45.1,22.5
073/071,CHR,ピカチュウ,073/071,21000,6/13,,12800,在庫あり (71枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130613037332d3037312e6a7067003136300000660023666666666666.jpg,8200,3000,5200,32.9,16.5
074/071,CHR,ゲンガー,074/071,13000,6/13,,6480,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130613037342d3037312e6a7067003136300000660023666666666666.jpg,6520,3000,3520,37.1,18.6
075/067,SR,オリジンディアルガV(SA),075/067,20000,6/13,,12800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130443037353036372e6a7067003136300000660023666666666666.jpg,7200,3000,4200,26.6,13.3
078/067,SR,ナタネの活気,078/067,9000,6/13,,2580,在庫あり (25枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130443037383036372e6a7067003136300000660023666666666666.jpg,6420,3000,3420,61.3,30.6
071/067,SR,オリジンパルキアV(SA),071/067,22000,6/13,,14800,在庫あり (18枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f533130503037313036372e6a7067003136300000660023666666666666.jpg,7200,3000,4200,23.6,11.8
084/067,CSR,ガブリアスV(SA),084/067,18000,6/13,,9280,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5339613038343036372e6a7067003136300000660023666666666666.jpg,8720,3000,5720,46.6,23.3
125/100,UR,アルセウスVSTAR,125/100,12000,6/13,,2980,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f322e6a7067003136300000660023666666666666.jpg,9020,3000,6020,100.7,50.3
118/100,HR,リザードンVSTAR,118/100,31000,6/13,,18800,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f392e6a7067003136300000660023666666666666.jpg,12200,3000,9200,42.2,21.1
120/100,HR,アルセウスVSTAR,120/100,12000,6/13,,2580,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f372e6a7067003136300000660023666666666666.jpg,9420,3000,6420,115.1,57.5
102/100,SR,リザードンV,102/100,15000,6/13,,7980,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73395f3232303131335f32352e6a7067003136300000660023666666666666.jpg,7020,3000,4020,36.6,18.3
